,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes
252,Mato Queimado,4312179,1901,0,0,0,0,0,7,0,,0,0,0,0,0
253,Maximiliano de Almeida,4312203,4509,0,0,7,0,0,31,3,,0,1,2,0,1
254,Minas do Leão,4312252,7804,3,0,1,0,0,162,4,,0,11,21,1,1
255,Miraguaí,4312302,5097,5,0,1,0,0,85,22,,0,1,8,0,0
256,Montauri,4312351,1612,0,0,0,0,0,4,0,,0,0,3,0,0
257,Monte Alegre dos Campos,4312377,3225,3,0,1,0,0,32,1,,0,1,0,0,0
258,Monte Belo do Sul,4312385,2704,4,0,3,0,0,31,1,,0,0,7,2,0
259,Montenegro,4312401,65094,38,0,62,1,0,865,60,,1,144,194,24,102
260,Mormaço,4312427,2857,1,0,2,0,0,29,3,,0,1,1,2,0
261,Morrinhos do Sul,4312443,3300,0,0,2,0,0,14,0,,0,0,3,0,1
262,Morro Redondo,4312450,6456,3,0,12,0,0,63,2,,0,2,3,0,0
263,Morro Reuter,4312476,6166,1,0,7,0,0,41,3,,0,5,6,2,0
264,Mostardas,4312500,12583,10,0,20,1,0,246,6,,0,15,18,2,17
265,Muçum,4312609,5139,6,1,5,0,0,88,3,,0,6,8,2,1
266,Muitos Capões,4312617,3057,0,0,2,0,0,61,1,,0,1,4,2,0
267,Muliterno,4312625,1987,8,0,1,0,0,28,1,,0,0,2,0,0
268,Não-Me-Toque,4312658,17655,14,0,23,0,0,240,22,,0,5,23,2,8
269,Nicolau Vergueiro,4312674,1848,4,0,1,0,0,10,0,,0,0,1,9,0
270,Nonoai,4312708,12123,16,0,12,0,0,155,15,,0,10,13,3,2
271,Nova Alvorada,4312757,3413,6,0,5,1,0,12,0,,0,0,5,2,1
272,Nova Araçá,4312807,4990,2,0,9,1,0,29,2,,0,0,2,3,1
273,Nova Bassano,4312906,8648,4,0,9,0,0,101,10,,0,10,12,4,6
274,Nova Boa Vista,4312955,2138,1,0,0,0,0,6,1,,0,0,0,0,0
275,Nova Bréscia,4313003,3332,6,0,0,0,0,23,3,,0,1,2,0,0
276,Nova Candelária,4313011,2904,4,0,1,0,0,7,1,,0,0,0,0,0
277,Nova Esperança do Sul,4313037,4995,5,0,2,0,0,42,1,,0,7,3,0,3
278,Nova Hartz,4313060,19172,4,0,17,0,0,175,15,,0,29,43,6,12
279,Nova Pádua,4313086,2519,0,0,1,0,0,19,1,,0,0,1,0,0
280,Nova Palma,4313102,6140,2,0,11,0,0,69,0,,0,0,1,1,0
281,Nova Petrópolis,4313201,22052,2,2,26,1,0,186,7,,1,33,8,2,7
282,Nova Prata,4313300,25382,14,11,35,0,0,244,34,,0,54,42,7,25
283,Nova Ramada,4313334,2475,3,0,2,0,0,17,2,,0,0,0,0,0
284,Nova Roma do Sul,4313359,3603,1,0,4,0,0,21,0,,0,2,3,0,0
285,Nova Santa Rita,4313375,25633,12,1,23,0,0,408,46,,1,19,111,32,9
286,Novo Barreiro,4313490,4065,2,0,3,0,0,28,4,,0,0,5,0,1
287,Novo Cabrais,4313391,3588,2,0,1,0,0,25,3,,0,1,2,1,0
288,Novo Hamburgo,4313409,243260,185,6,675,19,2,3454,873,,2,311,2768,911,230
289,Novo Machado,4313425,3389,1,0,0,0,0,24,0,,0,0,0,0,1
290,Novo Tiradentes,4313441,2185,0,0,0,0,0,8,1,,0,0,0,0,0
291,Novo Xingu,4313466,1912,0,0,1,0,0,5,0,,0,0,1,0,0
292,Osório,4313508,45343,26,2,66,2,0,833,53,,0,88,165,18,70
293,Paim Filho,4313607,4021,8,0,0,0,0,30,1,,0,1,3,0,0
294,Palmares do Sul,4313656,11697,5,0,20,3,0,289,6,,1,5,48,14,12
295,Palmeira das Missões,4313706,35549,31,0,20,0,0,398,34,,0,33,53,5,15
296,Palmitinho,4313805,7309,5,0,4,1,0,59,8,,0,0,4,0,0
297,Panambi,4313904,42466,19,1,51,1,0,354,28,,0,15,22,4,5
298,Pantano Grande,4313953,9927,7,0,3,0,0,140,5,,0,15,26,1,5
299,Paraí,4314001,7405,3,0,5,1,0,66,6,,0,4,8,6,0
300,Paraíso do Sul,4314027,7573,4,0,1,1,0,33,2,,0,2,4,1,3
301,Pareci Novo,4314035,4068,5,0,6,0,0,48,3,,0,2,6,5,3
302,Parobé,4314050,54114,25,2,52,8,3,528,126,,0,45,300,68,17
303,Passa Sete,4314068,4654,7,0,2,0,0,64,6,,0,0,1,1,3
304,Passo do Sobrado,4314076,6150,6,0,3,1,0,78,3,,0,0,6,5,0
305,Passo Fundo,4314100,199446,185,3,263,7,0,2296,597,,6,165,1114,188,175
306,Paulo Bento,4314134,2062,2,0,2,0,0,28,2,,0,0,0,0,0
307,Paverama,4314159,8660,7,0,4,1,0,101,2,,0,1,20,3,2
308,Pedras Altas,4314175,2035,2,0,0,0,0,34,1,,0,0,0,0,0
309,Pedro Osório,4314209,8191,4,0,9,0,0,190,3,,0,9,22,1,1
310,Pejuçara,4314308,3880,2,0,4,0,0,63,1,,0,0,5,1,1
311,Pelotas,4314407,343148,233,2,498,11,0,3904,434,,10,235,3734,248,286
312,Picada Café,4314423,5428,1,0,0,0,0,28,1,,0,5,6,1,1
313,Pinhal,4314456,2509,2,0,3,0,0,67,7,,0,0,5,1,2
314,Pinhal da Serra,4314464,2164,3,0,1,0,0,28,0,,0,0,0,0,0
315,Pinhal Grande,4314472,4257,3,0,4,0,0,38,2,,0,0,3,2,0
316,Pinheirinho do Vale,4314498,4513,5,0,1,0,0,12,0,,0,0,2,0,0
317,Pinheiro Machado,4314506,12112,9,0,17,0,0,217,4,,0,21,13,0,6
318,Pinto Bandeira,4314548,2959,0,0,0,0,0,22,1,,0,0,4,1,0
319,Pirapó,4314555,2622,4,0,0,0,0,36,0,,0,0,0,0,0
320,Piratini,4314605,19182,9,0,16,1,0,291,19,,0,8,22,2,6
321,Planalto,4314704,10476,15,0,5,0,0,113,6,,0,5,9,2,0
322,Poço das Antas,4314753,2076,0,0,0,0,0,17,0,,0,0,3,0,0
323,Pontão,4314779,3887,4,0,1,0,0,46,4,,0,0,7,3,0
324,Ponte Preta,4314787,1648,1,1,0,0,0,3,0,,0,0,1,0,0
325,Portão,4314803,34087,25,1,52,2,0,378,54,,2,32,122,59,16
326,Porto Alegre,4314902,1479277,1017,62,3980,81,3,29611,3653,,40,706,34825,8129,2062
327,Porto Lucena,4315008,5141,7,0,6,0,0,39,1,,0,1,0,0,1
328,Porto Mauá,4315057,2319,4,0,2,0,0,19,1,,0,2,2,0,0
329,Porto Vera Cruz,4315073,1654,6,0,1,0,0,20,1,,0,0,1,1,0
330,Porto Xavier,4315107,10579,15,1,3,1,0,135,7,,0,14,12,0,5
331,Pouso Novo,4315131,1777,0,0,2,0,0,19,2,,0,0,1,1,0
332,Presidente Lucena,4315149,2880,3,0,0,0,0,20,1,,0,1,1,0,0
333,Progresso,4315156,5766,10,0,5,0,0,32,2,,0,4,1,0,1
334,Protásio Alves,4315172,2147,4,0,2,0,0,16,0,,0,0,1,0,0
335,Putinga,4315206,4079,3,0,2,0,0,20,0,,0,0,2,0,0
336,Quaraí,4315305,22586,12,1,15,1,0,342,28,,0,9,26,0,12
337,Quatro Irmãos,4315313,1672,4,0,0,0,0,24,0,,0,0,0,0,0
338,Quevedos,4315321,2628,1,0,0,0,0,18,0,,0,0,0,0,0
339,Quinze de Novembro,4315354,4045,0,0,2,0,0,32,2,,0,0,0,0,0
340,Redentora,4315404,10559,8,0,2,0,0,81,12,,0,1,8,1,1
341,Relvado,4315453,2047,0,0,0,0,0,17,0,,0,0,0,0,0
342,Restinga Sêca,4315503,15733,3,0,10,0,0,241,17,,0,13,3,1,6
343,Rio dos Índios,4315552,3191,2,0,1,0,0,24,2,,0,0,6,0,0
344,Rio Grande,4315602,214532,178,3,253,10,1,3062,288,,2,216,2580,69,144
345,Rio Pardo,4315701,38526,15,1,27,0,0,577,41,,0,33,83,7,10
346,Riozinho,4315750,4140,1,0,1,0,0,46,1,,0,1,1,2,0
347,Roca Sales,4315800,11338,1,0,5,0,0,140,10,,0,4,17,3,3
348,Rodeio Bonito,4315909,6078,3,0,2,1,0,54,9,,0,6,2,0,0
349,Rolador,4315958,2352,2,0,0,0,0,18,0,,0,0,2,0,0
350,Rolante,4316006,21032,8,0,11,1,0,183,11,,0,53,31,8,7
351,Ronda Alta,4316105,10092,6,0,5,0,0,85,8,,0,4,11,3,3
352,Rondinha,4316204,5562,2,0,3,0,0,37,5,,0,0,8,0,0
353,Roque Gonzales,4316303,6779,2,0,2,0,0,70,3,,0,5,1,0,1
354,Rosário do Sul,4316402,40448,32,2,28,0,0,529,26,,0,85,42,0,26
355,Sagrada Família,4316428,2689,0,0,1,0,0,22,1,,0,0,4,0,0
356,Saldanha Marinho,4316436,2923,0,0,2,0,0,22,0,,0,0,1,0,0
357,Salto do Jacuí,4316451,11385,16,1,31,3,0,192,11,,0,1,17,1,5
358,Salvador das Missões,4316477,2818,2,0,3,0,0,26,1,,0,0,0,0,0
359,Salvador do Sul,4316501,7276,2,0,1,0,0,53,4,,0,0,5,3,0
360,Sananduva,4316600,15997,13,0,8,1,0,139,6,,0,5,9,2,5
361,Santa Bárbara do Sul,4316709,8951,7,0,18,0,0,98,5,,0,3,9,1,0
362,Santa Cecília do Sul,4316733,1700,2,0,1,0,0,9,2,,0,0,1,0,0
363,Santa Clara do Sul,4316758,6712,1,0,4,0,0,44,3,,0,1,1,0,1
364,Santa Cruz do Sul,4316808,128887,91,12,211,14,0,2302,547,,3,77,460,62,97
365,Santa Margarida do Sul,4316972,2570,1,0,1,0,0,30,2,,1,0,1,1,0
366,Santa Maria,4316907,277229,225,15,670,8,0,4149,325,,6,397,1976,53,202
367,Santa Maria do Herval,4316956,6673,1,0,2,1,0,29,5,,0,2,1,0,1
368,Santa Rosa,4317202,73977,61,3,79,9,0,899,50,,1,201,81,4,60
369,Santa Tereza,4317251,1660,1,0,0,0,0,17,1,,0,0,3,1,0
370,Santa Vitória do Palmar,4317301,32326,11,1,37,3,0,858,43,,0,14,95,3,8
371,Santana da Boa Vista,4317004,7836,2,0,2,0,0,107,5,,0,4,7,0,1
372,Santana do Livramento,4317103,84316,63,3,124,0,0,1236,105,,0,101,165,6,32
373,Santiago,4317400,50548,35,0,93,2,0,852,26,,2,135,65,0,130
374,Santo Ângelo,4317509,79789,63,58,86,0,0,1669,110,,0,108,257,11,27
375,Santo Antônio da Patrulha,4317608,42934,11,1,46,2,0,471,49,,0,40,109,24,24
376,Santo Antônio das Missões,4317707,10947,15,0,3,0,0,136,2,,0,9,6,1,3
377,Santo Antônio do Palma,4317558,2137,1,0,1,0,0,20,5,,0,0,4,0,0
378,Santo Antônio do Planalto,4317756,2106,0,0,0,0,0,10,1,,0,0,5,3,0
379,Santo Augusto,4317806,15066,20,0,4,1,0,244,22,,0,16,22,0,3
380,Santo Cristo,4317905,14733,6,0,8,0,0,63,4,,0,14,3,0,2
381,Santo Expedito do Sul,4317954,2497,3,0,0,0,0,16,0,,0,0,1,0,0
382,São Borja,4318002,61940,32,3,83,1,0,894,38,,0,92,173,4,78
383,São Domingos do Sul,4318051,2907,2,0,6,0,0,23,7,,0,0,2,2,1
384,São Francisco de Assis,4318101,18930,26,0,15,0,0,283,6,,0,17,7,0,4
385,São Francisco de Paula,4318200,21568,10,2,23,0,0,338,15,,0,13,40,13,17
386,São Gabriel,4318309,61870,64,5,54,1,0,926,53,,0,64,78,2,60
387,São Jerônimo,4318408,23254,8,2,10,0,0,308,20,,0,34,36,1,22
388,São João da Urtiga,4318424,4780,4,0,6,0,0,25,6,,0,0,2,0,0
389,São João do Polêsine,4318432,2683,2,0,3,0,0,30,1,,0,0,1,0,0
390,São Jorge,4318440,2640,1,0,0,0,0,8,0,,0,0,1,0,0
391,São José das Missões,4318457,2645,0,0,0,0,0,9,0,,0,0,1,0,0
392,São José do Herval,4318465,2079,0,0,1,0,0,26,1,,0,1,1,0,2
393,São José do Hortêncio,4318481,4382,1,0,2,0,0,21,1,,0,6,5,0,1
394,São José do Inhacorá,4318499,2441,3,0,2,0,0,8,2,,0,0,0,0,0
395,São José do Norte,4318507,26424,21,0,8,0,0,404,24,,1,31,79,0,15
396,São José do Ouro,4318606,7039,7,0,8,0,0,47,2,,0,2,1,0,1
397,São José do Sul,4318614,2258,0,0,1,0,0,24,4,,0,0,3,0,0
398,São José dos Ausentes,4318622,3560,1,0,0,0,0,12,0,,0,0,1,0,2
399,São Leopoldo,4318705,226680,178,8,316,9,2,3030,708,,2,205,2274,795,273
400,São Lourenço do Sul,4318804,43618,20,0,28,0,0,409,28,,0,41,37,2,23
401,São Luiz Gonzaga,4318903,35895,45,0,48,1,0,910,39,,1,46,81,3,10
402,São Marcos,4319000,21601,11,1,25,0,0,262,15,,0,26,54,13,12
403,São Martinho,4319109,5871,4,0,4,0,0,39,2,,0,0,2,0,0
404,São Martinho da Serra,4319125,3211,2,0,2,0,0,76,2,,0,0,1,0,0
405,São Miguel das Missões,4319158,7605,6,0,1,0,0,76,1,,0,2,3,1,2
406,São Nicolau,4319208,5437,13,0,2,0,0,117,2,,0,2,2,0,0
407,São Paulo das Missões,4319307,5973,2,0,1,0,0,35,2,,0,1,0,2,0
408,São Pedro da Serra,4319356,3435,1,0,1,0,0,17,1,,0,5,4,0,0
409,São Pedro das Missões,4319364,1895,2,1,1,0,0,14,1,,0,1,2,0,0
410,São Pedro do Butiá,4319372,2915,0,0,1,0,0,24,1,,0,0,1,0,0
411,São Pedro do Sul,4319406,16508,9,1,16,0,0,289,7,,0,5,17,0,5
412,São Sebastião do Caí,4319505,24469,10,5,28,4,0,432,19,,1,103,65,21,39
413,São Sepé,4319604,23678,20,3,28,0,0,384,15,,0,11,61,2,11
414,São Valentim,4319703,3710,4,0,2,0,0,28,1,,0,3,0,0,0
415,São Valentim do Sul,4319711,2499,1,0,1,0,0,30,1,,0,0,4,1,0
416,São Valério do Sul,4319737,2795,7,0,0,0,0,23,0,,0,0,1,0,0
417,São Vendelino,4319752,2238,0,0,0,0,0,21,1,,0,3,8,6,0
418,São Vicente do Sul,4319802,8575,7,0,7,0,0,156,1,,0,5,7,0,3
419,Sapiranga,4319901,79271,43,0,67,0,0,893,235,,0,97,381,98,44
420,Sapucaia do Sul,4320008,141256,100,2,106,8,0,1556,398,,1,142,1483,224,138
421,Sarandi,4320107,22666,20,0,19,1,0,207,16,,0,7,42,13,17
422,Seberi,4320206,11633,9,0,11,0,0,165,12,,0,2,26,0,2
423,Sede Nova,4320230,2991,2,0,1,0,0,16,0,,0,1,1,0,0
424,Segredo,4320263,6881,8,0,4,1,0,67,2,,0,0,4,1,0
425,Selbach,4320305,5115,3,0,3,0,0,27,4,,0,0,0,1,0
426,Senador Salgado Filho,4320321,2894,0,1,0,0,0,18,1,,0,1,0,1,0
427,Sentinela do Sul,4320354,5116,0,0,1,0,0,82,6,,0,0,6,3,0
428,Serafina Corrêa,4320404,15675,1,0,33,0,0,154,15,,0,26,15,1,5
429,Sério,4320453,2083,1,0,0,0,0,17,1,,0,1,1,0,0
430,Sertão,4320503,6026,6,1,11,0,0,86,4,,0,0,6,0,2
431,Sertão Santana,4320552,5996,1,0,3,0,0,69,2,,0,2,12,4,0
432,Sete de Setembro,4320578,2169,1,0,1,0,0,50,0,,0,0,1,1,0
433,Severiano de Almeida,4320602,3800,5,0,3,0,0,46,0,,0,0,1,0,0
434,Silveira Martins,4320651,2421,0,1,2,0,0,17,1,,0,0,0,0,3
435,Sinimbu,4320677,9956,2,0,3,0,0,53,2,,0,0,8,0,0
436,Sobradinho,4320701,14819,12,0,18,0,0,409,10,,0,30,38,1,19
437,Soledade,4320800,30930,37,8,59,5,0,564,32,,3,63,61,8,97
438,Tabaí,4320859,4491,1,0,3,0,0,73,2,,0,1,7,4,0
439,Tapejara,4320909,22920,8,0,47,0,0,297,30,,0,5,19,5,6
440,Tapera,4321006,10983,5,0,6,1,0,120,25,,0,7,9,1,16
441,Tapes,4321105,16876,16,0,17,1,0,422,14,,0,16,67,7,3
442,Taquara,4321204,57971,29,1,57,8,2,750,93,,2,60,255,104,43
443,Taquari,4321303,27090,14,2,46,1,0,347,36,,1,11,42,14,6
444,Taquaruçu do Sul,4321329,3053,0,0,1,0,0,30,5,,0,0,3,0,1
445,Tavares,4321352,5430,6,2,5,0,0,81,5,,0,6,1,0,12
446,Tenente Portela,4321402,14108,6,0,13,0,0,179,17,,0,6,17,0,3
447,Terra de Areia,4321436,10597,7,1,9,0,0,192,12,,1,3,32,8,8
448,Teutônia,4321451,31220,5,0,18,0,0,303,13,,0,31,41,7,10
449,Tio Hugo,4321469,2924,2,0,2,0,0,36,0,,0,0,8,5,0
450,Tiradentes do Sul,4321477,5968,4,0,1,0,0,39,5,,0,1,4,0,1
451,Toropi,4321493,2667,2,0,0,0,0,23,2,,0,0,1,0,0
452,Torres,4321501,38609,30,1,91,2,0,823,63,,0,115,169,18,79
453,Tramandaí,4321600,49262,41,1,141,4,0,1582,151,,2,130,554,103,99
454,Travesseiro,4321626,2416,0,0,1,0,0,4,0,,0,0,0,0,0
455,Três Arroios,4321634,2839,2,0,4,0,0,13,3,,1,0,0,0,0
456,Três Cachoeiras,4321667,10953,4,0,18,0,0,126,15,,0,1,21,3,3
457,Três Coroas,4321709,25471,10,0,12,0,0,309,12,,0,37,50,6,10
458,Três de Maio,4321808,24616,13,0,32,0,0,291,11,,0,32,27,0,20
459,Três Forquilhas,4321832,2855,0,0,0,0,0,16,2,,0,0,2,0,0
460,Três Palmeiras,4321857,4769,2,0,1,0,0,39,7,,0,0,5,0,0
461,Três Passos,4321907,25400,28,0,22,1,0,359,41,,0,10,25,0,27
462,Trindade do Sul,4321956,6250,10,0,4,0,0,67,11,,0,1,11,4,0
463,Triunfo,4322004,26238,20,0,19,0,1,420,21,,0,54,63,15,19
464,Tucunduva,4322103,6029,1,1,3,0,0,45,0,,1,0,2,0,1
465,Tunas,4322152,4074,5,0,1,0,0,18,0,,1,0,0,1,0
466,Tupanci do Sul,4322186,1453,3,0,1,0,0,17,0,,0,0,2,0,0
467,Tupanciretã,4322202,22435,6,1,16,0,0,364,9,,1,21,42,3,7
468,Tupandi,4322251,4630,0,0,6,0,0,18,1,,0,1,3,0,0
469,Tuparendi,4322301,8557,9,0,2,0,0,78,3,,0,2,2,0,2
470,Turuçu,4322327,3816,1,0,2,0,0,37,0,,0,0,2,0,1
471,Ubiretama,4322343,2184,2,1,0,0,0,18,0,,0,0,4,0,0
472,União da Serra,4322350,1365,1,0,2,0,0,9,2,,1,0,6,0,0
473,Unistalda,4322376,2448,1,0,3,0,0,27,0,,0,1,0,0,0
474,Uruguaiana,4322400,126660,78,2,154,1,0,1673,79,,1,125,740,14,151
475,Vacaria,4322509,67034,111,2,112,1,0,1405,91,,0,97,218,15,57
476,Vale do Sol,4322533,11265,6,1,7,0,0,93,7,,0,1,5,1,0
477,Vale Real,4322541,5495,0,0,6,0,0,28,1,,0,2,8,1,0
478,Vale Verde,4322525,3446,1,0,2,0,0,33,4,,0,0,4,4,0
479,Vanini,4322558,2106,1,0,0,0,0,16,4,,0,0,2,0,0
480,Venâncio Aires,4322608,69401,39,4,45,0,0,725,57,,0,174,158,15,60
481,Vera Cruz,4322707,25267,7,0,19,2,0,250,67,,0,2,44,2,3
482,Veranópolis,4322806,24033,5,0,36,1,0,351,35,,0,34,39,6,13
483,Vespasiano Correa,4322855,1879,0,0,0,0,0,14,0,,0,0,2,1,0
484,Viadutos,4322905,5267,7,0,0,0,0,67,2,,0,2,1,0,2
485,Viamão,4323002,252287,154,4,301,6,0,2487,438,,2,181,3777,672,288
486,Vicente Dutra,4323101,5087,11,0,1,0,0,24,3,,0,1,0,1,0
487,Victor Graeff,4323200,3004,1,0,1,0,0,31,2,,0,0,5,2,1
488,Vila Flores,4323309,3419,0,0,2,0,0,24,1,,0,1,2,0,1
489,Vila Lângaro,4323358,2131,0,0,1,0,0,19,0,,0,0,0,0,0
490,Vila Maria,4323408,4401,4,0,5,0,0,49,4,,0,0,6,7,0
491,Vila Nova do Sul,4323457,3752,5,0,3,0,0,71,1,,0,2,4,2,1
492,Vista Alegre,4323507,2797,3,0,0,0,0,23,1,,0,0,2,0,0
493,Vista Alegre do Prata,4323606,1563,1,0,0,0,0,11,1,,0,0,2,0,0
494,Vista Gaúcha,4323705,2816,0,0,0,1,0,22,0,,0,0,2,0,0
495,Vitória das Missões,4323754,3307,2,0,2,0,0,42,0,,0,1,2,0,0
496,Westfalia,4323770,3157,1,0,2,0,0,24,1,,0,0,1,1,0
497,Xangri-lá,4323804,14215,5,2,51,2,0,843,29,,0,64,93,13,21
