LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.178438,-51.174295,R PEDRO RAIMUNDO,,ABALROAMENTO,0,2016-06-09T17:10:00,QUINTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,BOM,DIA,SUL,9,6,2016,17,5
-30.177792,-51.169598,ESTR CHAPEU DO SOL,,COLISAO,0,2016-01-25T19:00:00,SEGUNDA-FEIRA,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,NOITE,SUL,25,1,2016,19,5
-30.177425,-51.170526,ESTR CHAPEU DO SOL,,COLISAO,0,2016-04-23T19:25:00,SABADO,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,23,4,2016,19,5
-30.177363,-51.176020,AV JUCA BATISTA,,ATROPELAMENTO,0,2016-10-31T16:30:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,31,10,2016,16,5
-30.176259,-51.176123,AV JUCA BATISTA,,ABALROAMENTO,0,2016-02-06T13:30:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,6,2,2016,13,5
-30.174568,-51.176637,AV JUCA BATISTA,,ABALROAMENTO,0,2016-06-29T08:40:00,QUARTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,29,6,2016,8,1
-30.174238,-51.181931,R DAS ESPATODEAS,,QUEDA,0,2016-02-29T08:45:00,SEGUNDA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,29,2,2016,8,5
-30.174133,-51.176936,AV JUCA BATISTA,,ABALROAMENTO,0,2016-10-14T10:40:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,SUL,14,10,2016,10,1
-30.173359,-51.147775,AV EDGAR PIRES DE CASTRO,,ATROPELAMENTO,0,2016-11-06T15:30:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,6,11,2016,15,5
-30.172306,-51.178834,AV JUCA BATISTA,,ABALROAMENTO,0,2016-03-03T20:10:00,QUINTA-FEIRA,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CHUVOSO,NOITE,SUL,3,3,2016,20,5
-30.172278,-51.214861,AV DA SERRARIA,,ABALROAMENTO,0,2016-06-27T13:45:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,NUBLADO,DIA,SUL,27,6,2016,13,5
-30.172167,-51.178888,AV JUCA BATISTA,,ABALROAMENTO,0,2016-09-30T09:05:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,BOM,DIA,SUL,30,9,2016,9,5
-30.168987,-51.126411,R DONA MARIANA,,QUEDA,0,2016-08-28T20:30:00,DOMINGO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,28,8,2016,20,5
-30.168467,-51.134082,R DONA MARIANA,,COLISAO,0,2016-01-14T08:45:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,14,1,2016,8,5
-30.168435,-51.180994,AV JUCA BATISTA,,COLISAO,0,2016-07-06T07:55:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,SUL,6,7,2016,7,1
-30.168008,-51.153638,AV EDGAR PIRES DE CASTRO,,ABALROAMENTO,0,2016-10-02T21:00:00,DOMINGO,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,2,10,2016,21,5
-30.167819,-51.181251,AV JUCA BATISTA,,ABALROAMENTO,0,2016-01-09T22:15:00,SABADO,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,9,1,2016,22,5
-30.167779,-51.153905,AV EDGAR PIRES DE CASTRO,R DARCY PEREIRA POZZI,COLISAO,0,2016-02-05T14:30:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,5,2,2016,14,1
-30.167779,-51.153905,R ANTONIO JOSE DE SANTANA,,QUEDA,0,2016-02-10T00:35:00,QUARTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,10,2,2016,0,5
-30.167779,-51.153905,AV EDGAR PIRES DE CASTRO,R DARCY PEREIRA POZZI,ABALROAMENTO,0,2016-08-25T08:54:00,QUINTA-FEIRA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,25,8,2016,8,1
-30.166389,-51.181859,AV JUCA BATISTA,,ABALROAMENTO,0,2016-07-13T18:30:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,13,7,2016,18,5
-30.166368,-51.181867,AV JUCA BATISTA,,COLISAO,0,2016-07-29T00:05:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,29,7,2016,0,1
-30.166357,-51.154779,AV EDGAR PIRES DE CASTRO,,COLISAO,0,2016-06-22T07:55:00,QUARTA-FEIRA,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,22,6,2016,7,13
-30.166073,-51.143864,ESTR CHACARA DO BANCO,,ABALROAMENTO,0,2016-05-10T14:00:00,TERCA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,10,5,2016,14,5
-30.165802,-51.147843,R CAPITAO PEDROSO,,ATROPELAMENTO,0,2016-01-04T22:05:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NUBLADO,NOITE,SUL,4,1,2016,22,5
-30.165751,-51.155115,AV EDGAR PIRES DE CASTRO,ESTR JOAO ANTONIO SILVEIRA,COLISAO,0,2016-06-23T12:30:00,QUINTA-FEIRA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,BOM,DIA,SUL,23,6,2016,12,1
-30.165705,-51.182134,AV JUCA BATISTA,,ABALROAMENTO,0,2016-08-12T06:40:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,12,8,2016,6,1
-30.165462,-51.149430,R CAPITAO PEDROSO,,COLISAO,0,2016-03-18T11:00:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,18,3,2016,11,5
-30.165410,-51.154345,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2016-10-29T08:50:00,SABADO,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,BOM,DIA,SUL,29,10,2016,8,1
-30.165362,-51.154257,ESTR JOAO ANTONIO SILVEIRA,,ABALROAMENTO,0,2016-05-16T11:40:00,SEGUNDA-FEIRA,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,BOM,DIA,SUL,16,5,2016,11,5
-30.165333,-51.142031,R ANTONIO NUNES VIEIRA,,ATROPELAMENTO,0,2016-12-16T21:30:00,SEXTA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,16,12,2016,21,5
-30.165327,-51.155205,AV EDGAR PIRES DE CASTRO,,ABALROAMENTO,0,2016-11-26T01:15:00,SABADO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,BOM,NOITE,SUL,26,11,2016,1,5
-30.165246,-51.154099,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2016-11-05T19:30:00,SABADO,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,NOITE,SUL,5,11,2016,19,1
-30.165222,-51.153963,ESTR JOAO ANTONIO SILVEIRA,,ABALROAMENTO,0,2016-07-22T23:30:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,22,7,2016,23,5
-30.164986,-51.153488,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2016-10-18T15:58:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,CHUVOSO,DIA,SUL,18,10,2016,15,1
-30.164931,-51.153469,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2016-01-04T13:00:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,4,1,2016,13,5
-30.164859,-51.153279,ESTR JOAO ANTONIO SILVEIRA,,COLISAO,0,2016-01-07T13:20:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,7,1,2016,13,1
-30.164565,-51.144287,ESTR CHACARA DO BANCO,,EVENTUAL,0,2016-06-13T09:30:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,13,6,2016,9,1
-30.164457,-51.144386,ESTR CHACARA DO BANCO,,COLISAO,0,2016-11-25T07:30:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,25,11,2016,7,5
-30.164450,-51.175256,R DO SCHNEIDER,,COLISAO,0,2016-10-27T14:10:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,27,10,2016,14,1
-30.164243,-51.182722,AV JUCA BATISTA,,ATROPELAMENTO,0,2016-09-09T21:15:00,SEXTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,9,9,2016,21,5
-30.163847,-51.232488,R JOSE DA ROCHA ESPINDOLA,,ATROPELAMENTO,0,2016-08-26T20:45:00,SEXTA-FEIRA,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,26,8,2016,20,5
-30.163823,-51.155474,AV EDGAR PIRES DE CASTRO,,COLISAO,0,2016-09-08T17:45:00,QUINTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,8,9,2016,17,5
-30.163683,-51.155527,AV EDGAR PIRES DE CASTRO,,ABALROAMENTO,0,2016-01-10T18:50:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,10,1,2016,18,5
-30.163481,-51.201812,R MARCIRIO DA SILVA BARBOSA,,QUEDA,0,2016-03-11T08:13:00,SEXTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,11,3,2016,8,5
-30.163457,-51.140376,ESTR BARRO VERMELHO,,ABALROAMENTO,0,2016-11-08T15:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,8,11,2016,15,1
-30.163457,-51.140376,ESTR BARRO VERMELHO,,QUEDA,0,2016-11-08T18:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,8,11,2016,18,5
-30.163425,-51.189821,R CORTICEIRA,R MANACA,ABALROAMENTO,0,2016-07-08T08:05:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,8,7,2016,8,1
-30.163237,-51.139509,ESTR BARRO VERMELHO,,QUEDA,0,2016-09-18T10:00:00,DOMINGO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,18,9,2016,10,5
-30.163197,-51.218005,AV ORLEAES,AV DA SERRARIA,QUEDA,0,2016-01-26T12:50:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,26,1,2016,12,5
-30.163197,-51.218005,AV ORLEAES,AV DA SERRARIA,COLISAO,0,2016-11-18T14:30:00,SEXTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,18,11,2016,14,1
-30.163188,-51.145546,ESTR CHACARA DO BANCO,,ATROPELAMENTO,0,2016-09-26T17:20:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,26,9,2016,17,5
-30.163134,-51.156032,AV EDGAR PIRES DE CASTRO,,EVENTUAL,0,2016-02-25T21:40:00,QUINTA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,25,2,2016,21,1
-30.163085,-51.183157,AV JUCA BATISTA,ESTR GEDEON LEITE,ABALROAMENTO,0,2016-01-09T01:30:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,9,1,2016,1,5
-30.163057,-51.146717,ESTR BARRO VERMELHO,,ABALROAMENTO,0,2016-02-24T20:00:00,QUARTA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,24,2,2016,20,5
-30.163031,-51.144901,ESTR BARRO VERMELHO,,ABALROAMENTO,0,2016-05-05T08:00:00,QUINTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,5,5,2016,8,1
-30.163012,-51.147741,ESTR BARRO VERMELHO,,ABALROAMENTO,0,2016-01-11T13:20:00,SEGUNDA-FEIRA,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,11,1,2016,13,5
-30.162964,-51.156166,AV EDGAR PIRES DE CASTRO,,COLISAO,0,2016-12-16T18:07:00,SEXTA-FEIRA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,16,12,2016,18,1
-30.162925,-51.150372,ESTR JOAO ANTONIO SILVEIRA,ESTR BARRO VERMELHO,COLISAO,0,2016-03-05T11:30:00,SABADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,5,3,2016,11,1
-30.162925,-51.150372,ESTR JOAO ANTONIO SILVEIRA,ESTR BARRO VERMELHO,CHOQUE,0,2016-05-31T15:00:00,TERCA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NUBLADO,DIA,SUL,31,5,2016,15,1
-30.162879,-51.156373,AV EDGAR PIRES DE CASTRO,,ATROPELAMENTO,0,2016-04-09T18:45:00,SABADO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,9,4,2016,18,5
-30.162645,-51.181477,R DO SCHNEIDER,,ABALROAMENTO,0,2016-06-23T01:10:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,23,6,2016,1,1
-30.162554,-51.156882,AV EDGAR PIRES DE CASTRO,,QUEDA,0,2016-04-09T07:30:00,SABADO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,9,4,2016,7,5
-30.162554,-51.156883,AV EDGAR PIRES DE CASTRO,,COLISAO,0,2016-09-26T20:40:00,SEGUNDA-FEIRA,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,26,9,2016,20,5
-30.162511,-51.156844,AV EDGAR PIRES DE CASTRO,,ABALROAMENTO,0,2016-04-27T08:15:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,27,4,2016,8,5
-30.162442,-51.189908,R GUATAMBU,,CHOQUE,0,2016-06-23T10:15:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,23,6,2016,10,1
-30.162411,-51.167643,R DO SCHNEIDER,,ABALROAMENTO,0,2016-12-19T13:00:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,BOM,DIA,SUL,19,12,2016,13,5
-30.162362,-51.219360,AV DA SERRARIA,,COLISAO,0,2016-07-27T08:30:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,27,7,2016,8,1
-30.162327,-51.183184,ESTR GEDEON LEITE,,ATROPELAMENTO,0,2016-05-25T06:55:00,QUARTA-FEIRA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,25,5,2016,6,5
-30.162184,-51.137191,ESTR BARRO VERMELHO,,QUEDA,0,2016-08-17T19:30:00,QUARTA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,17,8,2016,19,5
-30.162148,-51.136943,ESTR BARRO VERMELHO,,QUEDA,0,2016-06-22T22:50:00,QUARTA-FEIRA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BOM,NOITE,SUL,22,6,2016,22,5
-30.162137,-51.135723,ESTR BARRO VERMELHO,,CHOQUE,0,2016-01-25T11:15:00,SEGUNDA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,25,1,2016,11,1
-30.162079,-51.157931,AV EDGAR PIRES DE CASTRO,,COLISAO,0,2016-05-14T11:30:00,SABADO,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,14,5,2016,11,1
-30.162077,-51.136643,ESTR BARRO VERMELHO,,CHOQUE,0,2016-04-14T23:50:00,QUINTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,14,4,2016,23,1
-30.161960,-51.219929,AV DA SERRARIA,,ABALROAMENTO,0,2016-06-27T10:50:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,27,6,2016,10,1
-30.161687,-51.178477,R CONSTANTINO FERNANDO ONORATO BOTTIN,R SANTOS ZOTTIS,ABALROAMENTO,0,2016-07-19T13:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,BOM,DIA,SUL,19,7,2016,13,5
-30.161649,-51.184089,AV JUCA BATISTA,R DO SCHNEIDER,ABALROAMENTO,0,2016-01-17T12:00:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,BOM,DIA,SUL,17,1,2016,12,5
-30.161507,-51.227849,AV GUAIBA,,CHOQUE,0,2016-03-04T14:50:00,SEXTA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOM,DIA,LESTE,4,3,2016,14,1
-30.161483,-51.164164,R DO SCHNEIDER,,COLISAO,0,2016-12-10T21:55:00,SABADO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,10,12,2016,21,5
-30.161341,-51.159326,AV EDGAR PIRES DE CASTRO,,ABALROAMENTO,0,2016-06-19T12:35:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,19,6,2016,12,1