LATITUDE,LONGITUDE,ID,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes,
-28.757189,-51.4757,334, Protásio Alves, 4315172, 2147, 4, 0, 2, 0, 0, 16, 0, , 0, 0, 1, 0, 0
-29.004494,-52.156904,335, Putinga, 4315206, 4079, 3, 0, 2, 0, 0, 20, 0, , 0, 0, 2, 0, 0
-30.384033,-56.448254,336, Quaraí, 4315305, 22586, 12, 1, 15, 1, 0, 342, 28, , 0, 9, 26, 0, 12
-27.825684,-52.442417,337, Quatro Irmãos, 4315313, 1672, 4, 0, 0, 0, 0, 24, 0, , 0, 0, 0, 0, 0
-29.350413,-54.078915,338, Quevedos, 4315321, 2628, 1, 0, 0, 0, 0, 18, 0, , 0, 0, 0, 0, 0
-28.746552,-53.101096,339, Quinze de Novembro, 4315354, 4045, 0, 0, 2, 0, 0, 32, 2, , 0, 0, 0, 0, 0
-27.663954,-53.640668,340, Redentora, 4315404, 10559, 8, 0, 2, 0, 0, 81, 12, , 0, 1, 8, 1, 1
-29.116376,-52.077831,341, Relvado, 4315453, 2047, 0, 0, 0, 0, 0, 17, 0, , 0, 0, 0, 0, 0
-27.29728,-52.841749,343, Rio dos Índios, 4315552, 3191, 2, 0, 1, 0, 0, 24, 2, , 0, 0, 6, 0, 0
-32.034875,-52.10705,344, Rio Grande, 4315602, 214532, 178, 3, 253, 10, 1, 3062, 288, , 2, 216, 2580, 69, 144
-29.98803,-52.37113,345, Rio Pardo, 4315701, 38526, 15, 1, 27, 0, 0, 577, 41, , 0, 33, 83, 7, 10
-29.638986,-50.448781,346, Riozinho, 4315750, 4140, 1, 0, 1, 0, 0, 46, 1, , 0, 1, 1, 2, 0
-29.288398,-51.86584,347, Roca Sales, 4315800, 11338, 1, 0, 5, 0, 0, 140, 10, , 0, 4, 17, 3, 3
-27.474203,-53.170583,348, Rodeio Bonito, 4315909, 6078, 3, 0, 2, 1, 0, 54, 9, , 0, 6, 2, 0, 0
-28.256554,-54.81864,349, Rolador, 4315958, 2352, 2, 0, 0, 0, 0, 18, 0, , 0, 0, 2, 0, 0
-29.64624,-50.581937,350, Rolante, 4316006, 21032, 8, 0, 11, 1, 0, 183, 11, , 0, 53, 31, 8, 7
-27.775799,-52.805587,351, Ronda Alta, 4316105, 10092, 6, 0, 5, 0, 0, 85, 8, , 0, 4, 11, 3, 3
-27.831451,-52.908107,352, Rondinha, 4316204, 5562, 2, 0, 3, 0, 0, 37, 5, , 0, 0, 8, 0, 0
-28.129681,-55.026609,353, Roque Gonzales, 4316303, 6779, 2, 0, 2, 0, 0, 70, 3, , 0, 5, 1, 0, 1
-30.251483,-54.922106,354, Rosário do Sul, 4316402, 40448, 32, 2, 28, 0, 0, 529, 26, , 0, 85, 42, 0, 26
-27.708538,-53.135053,355, Sagrada Família, 4316428, 2689, 0, 0, 1, 0, 0, 22, 1, , 0, 0, 4, 0, 0
-28.394081,-53.097006,356, Saldanha Marinho, 4316436, 2923, 0, 0, 2, 0, 0, 22, 0, , 0, 0, 1, 0, 0
-29.095065,-53.213326,357, Salto do Jacuí, 4316451, 11385, 16, 1, 31, 3, 0, 192, 11, , 0, 1, 17, 1, 5
-28.123337,-54.837318,358, Salvador das Missões, 4316477, 2818, 2, 0, 3, 0, 0, 26, 1, , 0, 0, 0, 0, 0
-29.438561,-51.507699,359, Salvador do Sul, 4316501, 7276, 2, 0, 1, 0, 0, 53, 4, , 0, 0, 5, 3, 0
-27.947028,-51.807949,360, Sananduva, 4316600, 15997, 13, 0, 8, 1, 0, 139, 6, , 0, 5, 9, 2, 5
-28.36533,-53.251041,361, Santa Bárbara do Sul, 4316709, 8951, 7, 0, 18, 0, 0, 98, 5, , 0, 3, 9, 1, 0
-28.160861,-51.927934,362, Santa Cecília do Sul, 4316733, 1700, 2, 0, 1, 0, 0, 9, 2, , 0, 0, 1, 0, 0
-29.47474,-52.08426,363, Santa Clara do Sul, 4316758, 6712, 1, 0, 4, 0, 0, 44, 3, , 0, 1, 1, 0, 1
-29.722021,-52.434318,364, Santa Cruz do Sul, 4316808, 128887, 91, 12, 211, 14, 0, 2302, 547, , 3, 77, 460, 62, 97
-30.339283,-54.081719,365, Santa Margarida do Sul, 4316972, 2570, 1, 0, 1, 0, 0, 30, 2, , 1, 0, 1, 1, 0
-29.686817,-53.814946,366, Santa Maria, 4316907, 277229, 225, 15, 670, 8, 0, 4149, 325, , 6, 397, 1976, 53, 202
-29.490163,-50.991917,367, Santa Maria do Herval, 4316956, 6673, 1, 0, 2, 1, 0, 29, 5, , 0, 2, 1, 0, 1
-27.8702,-54.479629,368, Santa Rosa, 4317202, 73977, 61, 3, 79, 9, 0, 899, 50, , 1, 201, 81, 4, 60
-29.165467,-51.735066,369, Santa Tereza, 4317251, 1660, 1, 0, 0, 0, 0, 17, 1, , 0, 0, 3, 1, 0
-33.52498,-53.371692,370, Santa Vitória do Palmar, 4317301, 32326, 11, 1, 37, 3, 0, 858, 43, , 0, 14, 95, 3, 8
-30.869738,-53.109981,371, Santana da Boa Vista, 4317004, 7836, 2, 0, 2, 0, 0, 107, 5, , 0, 4, 7, 0, 1
-30.88772,-55.531467,372, Santana do Livramento, 4317103, 84316, 63, 3, 124, 0, 0, 1236, 105, , 0, 101, 165, 6, 32
-29.189675,-54.866624,373, Santiago, 4317400, 50548, 35, 0, 93, 2, 0, 852, 26, , 2, 135, 65, 0, 130
-28.300128,-54.266781,374, Santo Ângelo, 4317509, 79789, 63, 58, 86, 0, 0, 1669, 110, , 0, 108, 257, 11, 27
-29.826768,-50.517489,375, Santo Antônio da Patrulha, 4317608, 42934, 11, 1, 46, 2, 0, 471, 49, , 0, 40, 109, 24, 24
-28.513977,-55.225077,376, Santo Antônio das Missões, 4317707, 10947, 15, 0, 3, 0, 0, 136, 2, , 0, 9, 6, 1, 3
-28.495554,-52.026701,377, Santo Antônio do Palma, 4317558, 2137, 1, 0, 1, 0, 0, 20, 5, , 0, 0, 4, 0, 0
-28.403046,-52.699233,378, Santo Antônio do Planalto, 4317756, 2106, 0, 0, 0, 0, 0, 10, 1, , 0, 0, 5, 3, 0
-27.852577,-53.777605,379, Santo Augusto, 4317806, 15066, 20, 0, 4, 1, 0, 244, 22, , 0, 16, 22, 0, 3
-27.826259,-54.661963,380, Santo Cristo, 4317905, 14733, 6, 0, 8, 0, 0, 63, 4, , 0, 14, 3, 0, 2
-27.907439,-51.643352,381, Santo Expedito do Sul, 4317954, 2497, 3, 0, 0, 0, 0, 16, 0, , 0, 0, 1, 0, 0
-28.657828,-56.003603,382, São Borja, 4318002, 61940, 32, 3, 83, 1, 0, 894, 38, , 0, 92, 173, 4, 78
-28.531151,-51.88598,383, São Domingos do Sul, 4318051, 2907, 2, 0, 6, 0, 0, 23, 7, , 0, 0, 2, 2, 1
-29.554689,-55.12531,384, São Francisco de Assis, 4318101, 18930, 26, 0, 15, 0, 0, 283, 6, , 0, 17, 7, 0, 4
-29.440366,-50.582796,385, São Francisco de Paula, 4318200, 21568, 10, 2, 23, 0, 0, 338, 15, , 0, 13, 40, 13, 17
-30.333688,-54.321657,386, São Gabriel, 4318309, 61870, 64, 5, 54, 1, 0, 926, 53, , 0, 64, 78, 2, 60
-29.97158,-51.72507,387, São Jerônimo, 4318408, 23254, 8, 2, 10, 0, 0, 308, 20, , 0, 34, 36, 1, 22
-27.819507,-51.825664,388, São João da Urtiga, 4318424, 4780, 4, 0, 6, 0, 0, 25, 6, , 0, 0, 2, 0, 0
-29.619435,-53.44392,389, São João do Polêsine, 4318432, 2683, 2, 0, 3, 0, 0, 30, 1, , 0, 0, 1, 0, 0
-28.498445,-51.706422,390, São Jorge, 4318440, 2640, 1, 0, 0, 0, 0, 8, 0, , 0, 0, 1, 0, 0
-27.778908,-53.122595,391, São José das Missões, 4318457, 2645, 0, 0, 0, 0, 0, 9, 0, , 0, 0, 1, 0, 0
-29.052035,-52.294991,392, São José do Herval, 4318465, 2079, 0, 0, 1, 0, 0, 26, 1, , 0, 1, 1, 0, 2
-29.527962,-51.245048,393, São José do Hortêncio, 4318481, 4382, 1, 0, 2, 0, 0, 21, 1, , 0, 6, 5, 0, 1
-27.725055,-54.127462,394, São José do Inhacorá, 4318499, 2441, 3, 0, 2, 0, 0, 8, 2, , 0, 0, 0, 0, 0
-32.015129,-52.033085,395, São José do Norte, 4318507, 26424, 21, 0, 8, 0, 0, 404, 24, , 1, 31, 79, 0, 15
-27.770679,-51.59662,396, São José do Ouro, 4318606, 7039, 7, 0, 8, 0, 0, 47, 2, , 0, 2, 1, 0, 1
-29.544818,-51.482104,397, São José do Sul, 4318614, 2258, 0, 0, 1, 0, 0, 24, 4, , 0, 0, 3, 0, 0
-28.747589,-50.06772,398, São José dos Ausentes, 4318622, 3560, 1, 0, 0, 0, 0, 12, 0, , 0, 0, 1, 0, 2
-29.754494,-51.149773,399, São Leopoldo, 4318705, 226680, 178, 8, 316, 9, 2, 3030, 708, , 2, 205, 2274, 795, 273
-31.356374,-51.971531,400, São Lourenço do Sul, 4318804, 43618, 20, 0, 28, 0, 0, 409, 28, , 0, 41, 37, 2, 23
-28.412032,-54.955942,401, São Luiz Gonzaga, 4318903, 35895, 45, 0, 48, 1, 0, 910, 39, , 1, 46, 81, 3, 10
-28.967659,-51.069559,402, São Marcos, 4319000, 21601, 11, 1, 25, 0, 0, 262, 15, , 0, 26, 54, 13, 12
-27.711169,-53.969899,403, São Martinho, 4319109, 5871, 4, 0, 4, 0, 0, 39, 2, , 0, 0, 2, 0, 0
-29.539667,-53.859002,404, São Martinho da Serra, 4319125, 3211, 2, 0, 2, 0, 0, 76, 2, , 0, 0, 1, 0, 0
-28.556044,-54.555879,405, São Miguel das Missões, 4319158, 7605, 6, 0, 1, 0, 0, 76, 1, , 0, 2, 3, 1, 2
-28.183365,-55.265441,406, São Nicolau, 4319208, 5437, 13, 0, 2, 0, 0, 117, 2, , 0, 2, 2, 0, 0
-28.019546,-54.940352,407, São Paulo das Missões, 4319307, 5973, 2, 0, 1, 0, 0, 35, 2, , 0, 1, 0, 2, 0
-29.41932,-51.513381,408, São Pedro da Serra, 4319356, 3435, 1, 0, 1, 0, 0, 17, 1, , 0, 5, 4, 0, 0
-27.770568,-53.251298,409, São Pedro das Missões, 4319364, 1895, 2, 1, 1, 0, 0, 14, 1, , 0, 1, 2, 0, 0
-28.12425,-54.892603,410, São Pedro do Butiá, 4319372, 2915, 0, 0, 1, 0, 0, 24, 1, , 0, 0, 1, 0, 0
-29.620163,-54.185516,411, São Pedro do Sul, 4319406, 16508, 9, 1, 16, 0, 0, 289, 7, , 0, 5, 17, 0, 5
-29.588517,-51.37488,412, São Sebastião do Caí, 4319505, 24469, 10, 5, 28, 4, 0, 432, 19, , 1, 103, 65, 21, 39
-30.164289,-53.560296,413, São Sepé, 4319604, 23678, 20, 3, 28, 0, 0, 384, 15, , 0, 11, 61, 2, 11
-27.558284,-52.523714,414, São Valentim, 4319703, 3710, 4, 0, 2, 0, 0, 28, 1, , 0, 3, 0, 0, 0
-29.045056,-51.768356,415, São Valentim do Sul, 4319711, 2499, 1, 0, 1, 0, 0, 30, 1, , 0, 0, 4, 1, 0
-27.790639,-53.936771,416, São Valério do Sul, 4319737, 2795, 7, 0, 0, 0, 0, 23, 0, , 0, 0, 1, 0, 0
-29.372873,-51.367515,417, São Vendelino, 4319752, 2238, 0, 0, 0, 0, 0, 21, 1, , 0, 3, 8, 6, 0
-29.688161,-54.682643,418, São Vicente do Sul, 4319802, 8575, 7, 0, 7, 0, 0, 156, 1, , 0, 5, 7, 0, 3
-29.634885,-51.006446,419, Sapiranga, 4319901, 79271, 43, 0, 67, 0, 0, 893, 235, , 0, 97, 381, 98, 44
-29.827575,-51.144975,420, Sapucaia do Sul, 4320008, 141256, 100, 2, 106, 8, 0, 1556, 398, , 1, 142, 1483, 224, 138
-27.942,-52.923085,421, Sarandi, 4320107, 22666, 20, 0, 19, 1, 0, 207, 16, , 0, 7, 42, 13, 17
-27.482861,-53.402634,422, Seberi, 4320206, 11633, 9, 0, 11, 0, 0, 165, 12, , 0, 2, 26, 0, 2
-27.636739,-53.94929,423, Sede Nova, 4320230, 2991, 2, 0, 1, 0, 0, 16, 0, , 0, 1, 1, 0, 0
-29.352337,-52.976673,424, Segredo, 4320263, 6881, 8, 0, 4, 1, 0, 67, 2, , 0, 0, 4, 1, 0
-28.629435,-52.949768,425, Selbach, 4320305, 5115, 3, 0, 3, 0, 0, 27, 4, , 0, 0, 0, 1, 0
-28.025007,-54.550717,426, Senador Salgado Filho, 4320321, 2894, 0, 1, 0, 0, 0, 18, 1, , 0, 1, 0, 1, 0
-30.610707,-51.586154,427, Sentinela do Sul, 4320354, 5116, 0, 0, 1, 0, 0, 82, 6, , 0, 0, 6, 3, 0
-28.712621,-51.93525,428, Serafina Corrêa, 4320404, 15675, 1, 0, 33, 0, 0, 154, 15, , 0, 26, 15, 1, 5
-29.390428,-52.2685,429, Sério, 4320453, 2083, 1, 0, 0, 0, 0, 17, 1, , 0, 1, 1, 0, 0
-27.979782,-52.25878,430, Sertão, 4320503, 6026, 6, 1, 11, 0, 0, 86, 4, , 0, 0, 6, 0, 2
-30.456183,-51.601694,431, Sertão Santana, 4320552, 5996, 1, 0, 3, 0, 0, 69, 2, , 0, 2, 12, 4, 0
-28.136169,-54.463682,432, Sete de Setembro, 4320578, 2169, 1, 0, 1, 0, 0, 50, 0, , 0, 0, 1, 1, 0
-27.436202,-52.121704,433, Severiano de Almeida, 4320602, 3800, 5, 0, 3, 0, 0, 46, 0, , 0, 0, 1, 0, 0
-29.646741,-53.591018,434, Silveira Martins, 4320651, 2421, 0, 1, 2, 0, 0, 17, 1, , 0, 0, 0, 0, 3
-29.535659,-52.530449,435, Sinimbu, 4320677, 9956, 2, 0, 3, 0, 0, 53, 2, , 0, 0, 8, 0, 0
-29.419439,-53.032625,436, Sobradinho, 4320701, 14819, 12, 0, 18, 0, 0, 409, 10, , 0, 30, 38, 1, 19
-28.830613,-52.513083,437, Soledade, 4320800, 30930, 37, 8, 59, 5, 0, 564, 32, , 3, 63, 61, 8, 97
-29.643041,-51.682292,438, Tabaí, 4320859, 4491, 1, 0, 3, 0, 0, 73, 2, , 0, 1, 7, 4, 0
-28.065237,-52.009665,439, Tapejara, 4320909, 22920, 8, 0, 47, 0, 0, 297, 30, , 0, 5, 19, 5, 6
-28.627729,-52.861253,440, Tapera, 4321006, 10983, 5, 0, 6, 1, 0, 120, 25, , 0, 7, 9, 1, 16
-30.668308,-51.39914,441, Tapes, 4321105, 16876, 16, 0, 17, 1, 0, 422, 14, , 0, 16, 67, 7, 3
-29.650471,-50.775278,442, Taquara, 4321204, 57971, 29, 1, 57, 8, 2, 750, 93, , 2, 60, 255, 104, 43
-29.79433,-51.865346,443, Taquari, 4321303, 27090, 14, 2, 46, 1, 0, 347, 36, , 1, 11, 42, 14, 6
-27.400452,-53.47025,444, Taquaruçu do Sul, 4321329, 3053, 0, 0, 1, 0, 0, 30, 5, , 0, 0, 3, 0, 1
-31.284266,-51.08804,445, Tavares, 4321352, 5430, 6, 2, 5, 0, 0, 81, 5, , 0, 6, 1, 0, 12
-27.371058,-53.758484,446, Tenente Portela, 4321402, 14108, 6, 0, 13, 0, 0, 179, 17, , 0, 6, 17, 0, 3
-29.578199,-50.06439,447, Terra de Areia, 4321436, 10597, 7, 1, 9, 0, 0, 192, 12, , 1, 3, 32, 8, 8
-29.448205,-51.804375,448, Teutônia, 4321451, 31220, 5, 0, 18, 0, 0, 303, 13, , 0, 31, 41, 7, 10
-28.571229,-52.595507,449, Tio Hugo, 4321469, 2924, 2, 0, 2, 0, 0, 36, 0, , 0, 0, 8, 5, 0
-27.402229,-54.081367,450, Tiradentes do Sul, 4321477, 5968, 4, 0, 1, 0, 0, 39, 5, , 0, 1, 4, 0, 1
-29.478246,-54.224398,451, Toropi, 4321493, 2667, 2, 0, 0, 0, 0, 23, 2, , 0, 0, 1, 0, 0
-29.333438,-49.733289,452, Torres, 4321501, 38609, 30, 1, 91, 2, 0, 823, 63, , 0, 115, 169, 18, 79
-29.98414,-50.132187,453, Tramandaí, 4321600, 49262, 41, 1, 141, 4, 0, 1582, 151, , 2, 130, 554, 103, 99
-29.297662,-52.053228,454, Travesseiro, 4321626, 2416, 0, 0, 1, 0, 0, 4, 0, , 0, 0, 0, 0, 0
-27.500273,-52.144753,455, Três Arroios, 4321634, 2839, 2, 0, 4, 0, 0, 13, 3, , 1, 0, 0, 0, 0
-29.448661,-49.927514,456, Três Cachoeiras, 4321667, 10953, 4, 0, 18, 0, 0, 126, 15, , 0, 1, 21, 3, 3
-29.513719,-50.773869,457, Três Coroas, 4321709, 25471, 10, 0, 12, 0, 0, 309, 12, , 0, 37, 50, 6, 10
-27.780037,-54.235709,458, Três de Maio, 4321808, 24616, 13, 0, 32, 0, 0, 291, 11, , 0, 32, 27, 0, 20
-29.53842,-50.070771,459, Três Forquilhas, 4321832, 2855, 0, 0, 0, 0, 0, 16, 2, , 0, 0, 2, 0, 0
-27.613889,-52.843718,460, Três Palmeiras, 4321857, 4769, 2, 0, 1, 0, 0, 39, 7, , 0, 0, 5, 0, 0
-27.455471,-53.929631,461, Três Passos, 4321907, 25400, 28, 0, 22, 1, 0, 359, 41, , 0, 10, 25, 0, 27
-27.523896,-52.895593,462, Trindade do Sul, 4321956, 6250, 10, 0, 4, 0, 0, 67, 11, , 0, 1, 11, 4, 0
-29.929129,-51.707471,463, Triunfo, 4322004, 26238, 20, 0, 19, 0, 1, 420, 21, , 0, 54, 63, 15, 19
-27.657292,-54.44388,464, Tucunduva, 4322103, 6029, 1, 1, 3, 0, 0, 45, 0, , 1, 0, 2, 0, 1
-29.103944,-52.953843,465, Tunas, 4322152, 4074, 5, 0, 1, 0, 0, 18, 0, , 1, 0, 0, 1, 0
-27.924085,-51.538283,466, Tupanci do Sul, 4322186, 1453, 3, 0, 1, 0, 0, 17, 0, , 0, 0, 2, 0, 0
-29.085775,-53.844469,467, Tupanciretã, 4322202, 22435, 6, 1, 16, 0, 0, 364, 9, , 1, 21, 42, 3, 7
-29.477185,-51.417358,468, Tupandi, 4322251, 4630, 0, 0, 6, 0, 0, 18, 1, , 0, 1, 3, 0, 0
-27.759768,-54.481434,469, Tuparendi, 4322301, 8557, 9, 0, 2, 0, 0, 78, 3, , 0, 2, 2, 0, 2
-31.417284,-52.17059,470, Turuçu, 4322327, 3816, 1, 0, 2, 0, 0, 37, 0, , 0, 0, 2, 0, 1
-28.040385,-54.685952,471, Ubiretama, 4322343, 2184, 2, 1, 0, 0, 0, 18, 0, , 0, 0, 4, 0, 0
-28.783285,-52.023783,472, União da Serra, 4322350, 1365, 1, 0, 2, 0, 0, 9, 2, , 1, 0, 6, 0, 0
-29.039953,-55.151731,473, Unistalda, 4322376, 2448, 1, 0, 3, 0, 0, 27, 0, , 0, 1, 0, 0, 0
-29.761436,-57.085287,474, Uruguaiana, 4322400, 126660, 78, 2, 154, 1, 0, 1673, 79, , 1, 125, 740, 14, 151
-28.507868,-50.941791,475, Vacaria, 4322509, 67034, 111, 2, 112, 1, 0, 1405, 91, , 0, 97, 218, 15, 57
-29.596724,-52.683901,476, Vale do Sol, 4322533, 11265, 6, 1, 7, 0, 0, 93, 7, , 0, 1, 5, 1, 0
-29.391944,-51.255859,477, Vale Real, 4322541, 5495, 0, 0, 6, 0, 0, 28, 1, , 0, 2, 8, 1, 0
-29.786445,-52.185747,478, Vale Verde, 4322525, 3446, 1, 0, 2, 0, 0, 33, 4, , 0, 0, 4, 4, 0
-28.475833,-51.844723,479, Vanini, 4322558, 2106, 1, 0, 0, 0, 0, 16, 4, , 0, 0, 2, 0, 0
-29.614306,-52.193159,480, Venâncio Aires, 4322608, 69401, 39, 4, 45, 0, 0, 725, 57, , 0, 174, 158, 15, 60
-29.718435,-52.515176,481, Vera Cruz, 4322707, 25267, 7, 0, 19, 2, 0, 250, 67, , 0, 2, 44, 2, 3
-28.931197,-51.551614,482, Veranópolis, 4322806, 24033, 5, 0, 36, 1, 0, 351, 35, , 0, 34, 39, 6, 13
-29.065506,-51.862495,483, Vespasiano Correa, 4322855, 1879, 0, 0, 0, 0, 0, 14, 0, , 0, 0, 2, 1, 0
-27.571566,-52.021144,484, Viadutos, 4322905, 5267, 7, 0, 0, 0, 0, 67, 2, , 0, 2, 1, 0, 2
-30.081899,-51.019435,485, Viamão, 4323002, 252287, 154, 4, 301, 6, 0, 2487, 438, , 2, 181, 3777, 672, 288
-27.160749,-53.402211,486, Vicente Dutra, 4323101, 5087, 11, 0, 1, 0, 0, 24, 3, , 0, 1, 0, 1, 0
-28.563163,-52.749535,487, Victor Graeff, 4323200, 3004, 1, 0, 1, 0, 0, 31, 2, , 0, 0, 5, 2, 1
-28.859825,-51.550371,488, Vila Flores, 4323309, 3419, 0, 0, 2, 0, 0, 24, 1, , 0, 1, 2, 0, 1
-28.106184,-52.143795,489, Vila Lângaro, 4323358, 2131, 0, 0, 1, 0, 0, 19, 0, , 0, 0, 0, 0, 0
-28.535853,-52.148648,490, Vila Maria, 4323408, 4401, 4, 0, 5, 0, 0, 49, 4, , 0, 0, 6, 7, 0
-30.346131,-53.876041,491, Vila Nova do Sul, 4323457, 3752, 5, 0, 3, 0, 0, 71, 1, , 0, 2, 4, 2, 1
-27.368619,-53.491876,492, Vista Alegre, 4323507, 2797, 3, 0, 0, 0, 0, 23, 1, , 0, 0, 2, 0, 0
-28.805218,-51.79465,493, Vista Alegre do Prata, 4323606, 1563, 1, 0, 0, 0, 0, 11, 1, , 0, 0, 2, 0, 0
-27.290217,-53.697382,494, Vista Gaúcha, 4323705, 2816, 0, 0, 0, 1, 0, 22, 0, , 0, 0, 2, 0, 0
-28.351612,-54.504022,495, Vitória das Missões, 4323754, 3307, 2, 0, 2, 0, 0, 42, 0, , 0, 1, 2, 0, 0
-29.426275,-51.764455,496, Westfalia, 4323770, 3157, 1, 0, 2, 0, 0, 24, 1, , 0, 0, 1, 1, 0
-29.806493,-50.051932,497, Xangri-lá, 4323804, 14215, 5, 2, 51, 2, 0, 843, 29, , 0, 64, 93, 13, 21